"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"90"	"PGA_scaffold0__40_contigs__length_4818635"	540435	540435	"+"	2.95048743754429e-15	2.58676775034541e-13	33.9347280334728
"242"	"PGA_scaffold0__40_contigs__length_4818635"	598545	598545	"+"	5.96805159089225e-10	1.83276203841303e-08	28.1914893617021
"330"	"PGA_scaffold0__40_contigs__length_4818635"	677322	677322	"+"	3.34006656017195e-15	2.89541923342617e-13	28.2398813015424
"355"	"PGA_scaffold0__40_contigs__length_4818635"	755716	755716	"+"	1.49266381100814e-35	2.20162213748782e-32	28.2596065232199
"373"	"PGA_scaffold0__40_contigs__length_4818635"	756967	756967	"+"	7.19561031185511e-12	3.37243474189452e-10	25.3251934063742
"415"	"PGA_scaffold0__40_contigs__length_4818635"	764740	764740	"+"	2.37650345530788e-47	9.93154696918458e-44	-42.405972131922
"530"	"PGA_scaffold0__40_contigs__length_4818635"	1665514	1665514	"+"	3.16975773922037e-20	6.12559677612297e-18	-26.2312622490598
"569"	"PGA_scaffold0__40_contigs__length_4818635"	2228201	2228201	"+"	7.88733946443318e-27	3.85892523447842e-24	-36.1661255411255
"651"	"PGA_scaffold0__40_contigs__length_4818635"	2394081	2394081	"+"	5.11129204664644e-15	4.28636558169732e-13	-25.7372505543237
"664"	"PGA_scaffold0__40_contigs__length_4818635"	2429342	2429342	"+"	3.48797911556042e-12	1.75531987274387e-10	-29.6873309531537
"745"	"PGA_scaffold0__40_contigs__length_4818635"	2586379	2586379	"+"	3.21743378162304e-08	6.49165672839851e-07	27.7394204123808
"764"	"PGA_scaffold0__40_contigs__length_4818635"	2590642	2590642	"+"	2.09656753270392e-13	1.32668946956213e-11	-28.0893057939279
"875"	"PGA_scaffold0__40_contigs__length_4818635"	2637973	2637973	"+"	5.61753244556787e-11	2.15788556646188e-09	27.0233642896163
"886"	"PGA_scaffold0__40_contigs__length_4818635"	2638299	2638299	"+"	2.27383544835391e-17	2.92759682522394e-15	-30.7639074566301
"1141"	"PGA_scaffold0__40_contigs__length_4818635"	2693498	2693498	"+"	2.81318247357676e-09	7.37274364232326e-08	26.3273001508296
"1160"	"PGA_scaffold0__40_contigs__length_4818635"	2740782	2740782	"+"	1.77853344723118e-12	9.44321269223495e-11	25.6584488327405
"1277"	"PGA_scaffold0__40_contigs__length_4818635"	2795106	2795106	"+"	1.77675027933336e-17	2.30833472338339e-15	25.7721100806207
"1300"	"PGA_scaffold0__40_contigs__length_4818635"	2933188	2933188	"+"	2.30646642982671e-11	9.64287600741796e-10	26.2028735857182
"1349"	"PGA_scaffold0__40_contigs__length_4818635"	3016284	3016284	"+"	1.19507496051462e-34	1.64195775579869e-31	32.8100044967515
"1375"	"PGA_scaffold0__40_contigs__length_4818635"	3119317	3119317	"+"	1.675869596434e-26	7.64024409238951e-24	30.5422685294814
"1501"	"PGA_scaffold0__40_contigs__length_4818635"	3231348	3231348	"+"	2.7713788999957e-09	7.28221402362898e-08	26.0693165656112
"1518"	"PGA_scaffold0__40_contigs__length_4818635"	3232008	3232008	"+"	8.84421277052037e-26	3.80708833332266e-23	-28.7595287595288
"1684"	"PGA_scaffold0__40_contigs__length_4818635"	3299645	3299645	"+"	2.15704029958038e-06	2.65161836571206e-05	25.1914939204028
"1784"	"PGA_scaffold0__40_contigs__length_4818635"	3400337	3400337	"+"	1.04167304174102e-06	1.40426212292332e-05	-26.7303379475679
"1850"	"PGA_scaffold0__40_contigs__length_4818635"	3416873	3416873	"+"	1.1020919767024e-20	2.29806578538478e-18	32.3663545850015
"1857"	"PGA_scaffold0__40_contigs__length_4818635"	3417020	3417020	"+"	2.18925528456599e-14	1.66345925624018e-12	25.2631578947368
